Unit,Price
Gram 24K,881.87  EGP
Gram 23K,845.12  EGP
Gram 22K,808.38  EGP
Gram 21K,771.63  EGP
Gram 18K,661.40  EGP
Gram 16K,587.91  EGP
Gram 14K,514.42  EGP
Gram 12K,440.93  EGP
Gram 10K,367.44  EGP
Gram 9K,330.70  EGP
Gram 8K,293.96  EGP
Gram 6K,220.47  EGP
